eta_powertrain_mean,eta_powertrain_p05,eta_powertrain_p95,n_samples,speed_kph
0.8468463252514475,0.45271492260448715,0.90345024,8879,2.5
0.8477460939016798,0.6632895373687665,0.90345024,2612,7.5
0.8485688023692961,0.6819907781653155,0.90345024,3298,12.5
0.8519369167942278,0.6705666047667518,0.90345024,3579,17.5
0.8551750057406896,0.6850047346155774,0.90345024,3279,22.5
0.8581552717145777,0.704408104923786,0.90345024,2860,27.5
0.858708770806859,0.6882757069994799,0.90345024,2610,32.5
0.8532148561051924,0.6843283222220724,0.90345024,2512,37.5
0.8437150944995009,0.568859794014124,0.90345024,2336,42.5
0.8295648632118138,0.5031539032672728,0.90345024,2478,47.5
0.8216091806508662,0.3890779209231168,0.90345024,2344,52.5
0.8158818297971704,0.35322434716198226,0.90345024,2510,57.5
0.8140983825512517,0.3434252168754587,0.90345024,2721,62.5
0.8027550043580294,0.29086982833298813,0.90345024,2945,67.5
0.7873486774885732,0.2341079239608052,0.90345024,2761,72.5
0.7742487892938299,0.19978311411782904,0.90345024,2402,77.5
0.7689490614730734,0.15772270212742204,0.90345024,1922,82.5
0.7807939966312556,0.11779383689273167,0.90345024,1163,87.5
0.792638931789434,0.14127032505034182,0.90345024,703,92.5
0.7879875693143824,0.12950822585757074,0.90345024,556,97.5
0.7818271789225201,0.15313341508216968,0.90345024,248,102.5
