Date,Time,Latitude,Longitude,Speed,Heading,Signal Quality,Number of Satalites Connected,X-Axis Acceleration,Y-Axis Acceleration,Z-Axis Acceleration,Propultion Work (J),Braking Work (J),Offload Work (J),Energy Consumption (kWh),Displacement (m),Slope Angle (rad),DateTime,Velocity,ElevChange,DeltaT,DeltaV,Acceleration,Coordinates,Total Resistive Force,Wheel_Omega,Motor_rpm_gear_SG,Motor_torque_gear_SG,Motor_efficiency_gear_SG,Drivetrain_efficiency_gear_SG,Powertrain_efficiency_gear_SG
12/4/2022,8:27:25,-33.89138,18.95948,13.82,220.07,1,9,0.198,0.256,1.058,22124.41122294429,0.0,100.0,0.0061734475619289,4.332897058339757,0.0,2022-12-04 08:27:25,3.838888888888889,0.0,1.0,1.130555555555555,1.130555555555555,"(-33.89138, 18.95948)",2953.239361118865,13.71031746031746,1616.0310010357264,41.01400749904542,0.8990503643252868,0.837195699259707,0.8122472674217678
12/4/2022,8:27:26,-33.89141,18.95945,17.89,217.7,1,9,0.244,0.268,0.86,49100.46986211891,0.0,100.0,0.0136667971839219,6.693951666100941,0.0897536102394434,2022-12-04 08:27:26,4.969444444444444,0.0,1.0,1.2000000000000002,1.2000000000000002,"(-33.89141, 18.95945)",397.4449699119263,17.74801587301587,2091.953300183006,17.043127514402745,0.8167309027416113,0.7605398166329884,0.7378757300973253
12/4/2022,8:27:27,-33.89146,18.95941,22.21,214.47,1,9,0.3,0.364,0.968,105424.36431198684,0.0,200.0,0.0293401011977741,14.32036568887787,0.0838951225959008,2022-12-04 08:27:27,6.169444444444444,0.0,2.0,1.8916666666666655,0.9458333333333327,"(-33.89146, 18.95941)",-239.85323089956293,22.033730158730155,2597.109155788964,-4.562517011172747,1.0,0.9312,0.90345024
12/4/2022,8:27:29,-33.89157,18.95933,29.02,206.12,1,9,0.292,0.292,1.068,114456.38471718632,0.0,200.0,0.0318489957547739,19.2493590270244,0.0467718547647975,2022-12-04 08:27:29,8.06111111111111,0.0,2.0,1.93888888888889,0.969444444444445,"(-33.89157, 18.95933)",954.8136311396994,28.78968253968253,3393.4312337233555,6.463508913850955,0.643716631362908,0.5994289271251398,0.5815659450968106
12/4/2022,8:27:31,-33.89173,18.95925,36.0,197.27,1,9,0.154,0.282,0.924,95410.75152041746,0.0,200.0,0.0265585420890048,22.869791259933265,0.0131181173021201,2022-12-04 08:27:31,10.0,0.0,2.0,1.5083333333333329,0.7541666666666664,"(-33.89173, 18.95925)",1280.801563092939,35.71428571428571,4209.632130049648,0.3530474636986424,0.0911402018724527,0.084869755983628,0.0823406372553158
12/4/2022,8:27:33,-33.89193,18.95919,41.43,193.37,1,9,0.176,0.284,0.968,53119.18309863242,0.0,200.0,0.0148108841940645,23.75560492013725,0.0252598834228156,2022-12-04 08:27:33,11.508333333333333,0.0,2.0,0.1194444444444453,0.0597222222222226,"(-33.89193, 18.95919)",-1323.8095546200705,41.10119047619047,4844.584976332138,-25.18166459486328,1.0,0.9312,0.90345024
12/4/2022,8:27:35,-33.89214,18.95914,41.86,191.46,1,9,0.074,0.248,0.86,23919.584583137985,0.0,100.0,0.0066721068286494,12.516441571260478,0.0239707691764191,2022-12-04 08:27:35,11.627777777777778,0.0,1.0,0.0138888888888875,0.0138888888888875,"(-33.89214, 18.95914)",-1431.7006247974632,41.52777777777778,4894.866693441065,-27.23398151046954,1.0,0.9312,0.90345024
12/4/2022,8:27:36,-33.89225,18.95911,41.91,191.28,1,9,0.012,0.22,0.664,2844.2133471753164,0.0,100.0,0.000817837040882,11.245267224319557,0.0,2022-12-04 08:27:36,11.641666666666666,0.0,1.0,-0.1694444444444443,-0.1694444444444443,"(-33.89225, 18.95911)",-1272.6931731329814,41.57738095238094,4900.713404732798,-24.209322637201264,1.0,0.9312,0.90345024
12/4/2022,8:27:37,-33.89235,18.95909,41.3,190.64,1,9,0.376,0.32,1.12,32776.85701760772,0.0,200.0,0.0091602380604465,24.844174608222687,-0.0241528788775995,2022-12-04 08:27:37,11.47222222222222,0.0,2.0,0.6833333333333336,0.3416666666666668,"(-33.89235, 18.95909)",1097.4758118562652,40.97222222222221,4829.383526973625,16.851168560187578,0.7932560019631371,0.7386799890280732,0.7166673253550365
12/4/2022,8:27:39,-33.89257,18.95904,43.76,190.8,1,9,0.3,0.298,1.112,22541.01921522654,0.0,200.0,0.0063169497820073,27.2667519545402,-0.0734153351861703,2022-12-04 08:27:39,12.155555555555557,0.0,2.0,1.4111111111111114,0.7055555555555557,"(-33.89257, 18.95904)",3758.8690037721626,43.4126984126984,5117.041722527017,44.19783310930829,0.8897546759498575,0.8285395542445072,0.8038490755280209
