Date,Time,Latitude,Longitude,Speed,Heading,Signal Quality,Number of Satalites Connected,X-Axis Acceleration,Y-Axis Acceleration,Z-Axis Acceleration,Propultion Work (J),Braking Work (J),Offload Work (J),Energy Consumption (kWh),Displacement (m),Slope Angle (rad),DateTime,Velocity,ElevChange,DeltaT,DeltaV,Acceleration,Coordinates,Total Resistive Force,Wheel_Omega,Motor_rpm_gear_SG,Motor_torque_gear_SG,Motor_efficiency_gear_SG,Drivetrain_efficiency_gear_SG,Powertrain_efficiency_gear_SG
11/4/2022,17:14:30,-33.89132,18.95941,0.41,42.11,2,8,0.192,-0.064,1.04,0.0,0.0,200.0,5.555555555555556e-05,0.0,0.0,2022-11-04 17:14:30,0.0,0.0,2.0,1.0611111111111111,0.5305555555555556,"(-33.89132, 18.95941)",1681.947732426304,0.0,0.0,8.831845867348957,1.0,0.9312,0.90345024
11/4/2022,17:14:32,-33.89132,18.95941,3.82,98.99,2,8,0.138,-0.116,0.938,1937.8716816548688,0.0,100.0,0.0005660754671263,2.4035397057033103,0.0,2022-11-04 17:14:32,1.0611111111111111,0.0,1.0,0.2249999999999998,0.2249999999999998,"(-33.89132, 18.95941)",94.28058420276604,3.78968253968254,446.6887426886016,4.342379905276749,0.4535252426004865,0.422322705909573,0.4097374892734677
11/4/2022,17:14:33,-33.89134,18.95942,4.63,116.65,2,8,0.14,-0.108,1.064,1900.4769645207136,0.0,100.0,0.0005556880457001,2.157081441399794,0.0,2022-11-04 17:14:33,1.286111111111111,0.0,1.0,0.1444444444444446,0.1444444444444446,"(-33.89134, 18.95942)",-161.55153786078185,4.593253968253968,541.4054656147187,-3.073052786933621,1.0,0.9312,0.90345024
11/4/2022,17:14:34,-33.89135,18.95944,5.15,129.65,2,8,0.152,-0.1,1.112,2214.2072906721537,0.0,200.0,0.0006706131362978,4.532219246509252,0.0,2022-11-04 17:14:34,1.4305555555555556,0.0,2.0,-0.0361111111111112,-0.0180555555555556,"(-33.89135, 18.95944)",-677.043266859694,5.109126984126983,602.2112630487691,-12.878798466720816,1.0,0.9312,0.90345024
11/4/2022,17:14:36,-33.89139,18.95945,5.02,170.91,2,8,0.098,0.044,0.996,0.0,-2358.7221274111603,100.0,-0.0006274228131697,1.1092042576076944,0.0,2022-11-04 17:14:36,1.3944444444444444,0.0,1.0,-0.8638888888888888,-0.8638888888888888,"(-33.89139, 18.95945)",-3358.3845876194555,4.980158730158729,587.0098136902566,-63.88359562056689,1.0,0.9312,0.90345024
11/4/2022,17:14:37,-33.8914,18.95945,1.91,152.91,2,8,0.16,0.096,0.98,0.0,-42.38804114935798,100.0,1.6003321902956116e-05,0.925021875135007,0.0,2022-11-04 17:14:37,0.5305555555555556,0.0,1.0,-0.2277777777777777,-0.2277777777777777,"(-33.8914, 18.95945)",-1340.36678138695,1.8948412698412695,223.3443713443008,-25.49661815416457,1.0,0.9312,0.90345024
11/4/2022,17:14:38,-33.8914,18.95946,1.09,149.38,2,8,0.2,0.1,1.02,394.6258544010974,0.0,200.0,0.0001651738484447,0.0,0.0,2022-11-04 17:14:38,0.3027777777777778,0.0,2.0,-0.0916666666666667,-0.0458333333333333,"(-33.8914, 18.95946)",-763.4086269493083,1.0813492063492065,127.4583061598366,-14.521650735614902,1.0,0.9312,0.90345024
11/4/2022,17:14:40,-33.8914,18.95946,0.76,149.38,2,8,0.204,0.072,0.978,0.0,-29.72105444661728,200.0,4.7299707098161865e-05,0.925021875135007,0.0,2022-11-04 17:14:40,0.2111111111111111,0.0,2.0,-0.0555555555555555,-0.0277777777777777,"(-33.8914, 18.95946)",-88.09872893405895,0.7539682539682538,88.87001163438147,-1.6758246195676874,1.0,0.9312,0.90345024
11/4/2022,17:14:42,-33.8914,18.95947,0.56,149.38,2,8,0.058,0.16,0.92,0.0,-61.33656931871606,200.0,3.851761963368999e-05,0.0,0.0,2022-11-04 17:14:42,0.1555555555555555,0.0,2.0,-0.1555555555555555,-0.0777777777777777,"(-33.8914, 18.95947)",-246.5892320660317,0.5555555555555555,65.48316646743898,-4.690650035664557,1.0,0.9312,0.90345024
11/4/2022,17:14:44,-33.8914,18.95947,0.31,149.38,2,8,0.162,0.104,1.006,0.0,0.0,100.0,2.777777777777778e-05,0.0,0.0,2022-11-04 17:14:44,0.0,0.0,1.0,0.0,0.0,"(-33.8914, 18.95947)",0.0,0.0,0.0,-0.781775005944093,1.0,0.9312,0.90345024
11/4/2022,17:14:45,-33.8914,18.95947,0.33,149.38,2,8,0.156,0.088,0.992,0.0,0.0,100.0,2.777777777777778e-05,0.0,0.0,2022-11-04 17:14:45,0.0,0.0,1.0,0.0,0.0,"(-33.8914, 18.95947)",0.0,0.0,0.0,1.8928177695258916,1.0,0.9312,0.90345024
11/4/2022,17:14:46,-33.8914,18.95947,0.31,149.38,2,8,0.22,0.072,0.976,0.0,0.0,200.0,5.555555555555556e-05,0.0,0.0,2022-11-04 17:14:46,0.0,0.0,2.0,0.3027777777777778,0.1513888888888889,"(-33.8914, 18.95947)",479.9274943310658,0.0,0.0,3.861641385417248,1.0,0.9312,0.90345024
11/4/2022,17:14:48,-33.8914,18.95947,1.09,191.54,2,8,0.316,0.074,0.97,567.234480698491,0.0,100.0,0.0001853429113051,1.1092042603256425,0.0,2022-11-04 17:14:48,0.3027777777777778,0.0,1.0,0.236111111111111,0.236111111111111,"(-33.8914, 18.95947)",130.40129368561207,1.0813492063492065,127.4583061598366,2.4805090950335105,0.1996033227746384,0.1858706141677432,0.1803316698655445
11/4/2022,17:14:49,-33.89141,18.95947,1.94,193.99,2,8,0.308,0.072,0.968,8924.587332841578,0.0,200.0,0.0025346075924559,4.343269693616234,0.0691274280706958,2022-11-04 17:14:49,0.5388888888888889,0.3000000000000113,2.0,2.075,1.0375,"(-33.89141, 18.95947)",537.7983649387456,1.9246031746031744,226.85239811934215,18.938287398203727,0.698228510704249,0.6501903891677966,0.6308147155705963
11/4/2022,17:14:51,-33.89144,18.95944,9.41,196.06,2,8,0.292,0.062,0.918,37497.57166146469,0.0,100.0,0.0104437699059624,4.8236918337693,0.0830193686853282,2022-11-04 17:14:51,2.613888888888889,0.4000000000000057,1.0,2.3,2.3,"(-33.89144, 18.95944)",4107.073580558838,9.33531746031746,1100.3510651046442,18.82075516259708,0.8132919387574747,0.7573374533709604,0.7347687972605057
11/4/2022,17:14:52,-33.89148,18.95942,17.69,202.78,2,8,0.132,0.148,1.028,36836.65432482656,0.0,100.0,0.0102601817568962,5.79878966791456,0.0863320919845205,2022-11-04 17:14:52,4.913888888888889,0.5,1.0,0.6833333333333327,0.6833333333333327,"(-33.89148, 18.95942)",-1134.8621571840667,17.549603174603174,2068.566455016064,-21.587484471521204,1.0,0.9312,0.90345024
11/4/2022,17:14:53,-33.89152,18.95938,20.15,204.77,2,8,0.244,0.136,0.892,43502.21402784708,0.0,100.0,0.0121117261188464,6.221681191806098,0.0804508868620825,2022-11-04 17:14:53,5.597222222222221,0.5,1.0,0.802777777777778,0.802777777777778,"(-33.89152, 18.95938)",-581.6272375041988,19.99007936507936,2356.224650569456,-11.063783278306277,1.0,0.9312,0.90345024
